GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BC01_ISO_II_ejercTeorico,default,Ejercicio_3,47,728,16,42,17,98,15,26,3,9
BC01_ISO_II_ejercTeorico,default,Ejercicio_3Test,102,0,16,0,36,0,17,0,9,0
